municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,CONSULTORIO ISOLADO,ISOLATED OFFICE,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),UNIDADE MOVEL TERRESTRE,GROUND MOBILE UNIT,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE
260590,8,-,1,-,-,1,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,1,-,-
260600,2,37,1,5,2,-,-,-,135,-,8,19,-,-,-,-,-,-,-,-,-,2,1,1,1,-,-
260610,-,9,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
260620,4,21,3,2,-,2,-,-,7,-,4,2,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
260630,2,3,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260640,1,25,2,1,-,-,-,-,37,-,-,13,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-
260650,-,8,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260660,1,13,-,-,-,1,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
260670,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
260680,32,1,2,1,1,-,-,-,7,-,2,2,-,1,-,-,-,-,-,-,-,1,-,1,2,-,1
260690,3,3,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
260700,6,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260710,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260720,1,16,-,-,-,2,-,-,1,-,2,1,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-
260730,-,12,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-
260740,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
260750,2,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260760,6,2,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
260765,3,14,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-
260770,-,7,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260775,10,-,-,1,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-
260780,2,6,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260790,-,101,8,7,-,-,-,-,67,-,26,17,4,1,1,-,-,-,-,-,-,7,-,2,-,-,3
260795,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260800,3,6,-,-,-,1,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-
260805,1,4,-,1,-,-,-,-,3,-,3,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260810,3,11,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
260820,1,8,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260825,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260830,-,6,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260840,1,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260845,3,6,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
260850,1,9,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
260860,-,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260870,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260875,1,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260880,5,7,-,-,-,1,-,-,4,-,-,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260890,3,19,2,2,-,-,-,-,6,-,8,8,-,-,-,-,-,-,-,1,-,2,1,-,-,-,-
260900,-,10,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-
260910,2,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260915,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260920,1,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260930,2,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
260940,1,14,1,1,-,-,-,-,1,-,4,1,1,1,1,1,-,-,-,-,-,1,-,-,-,-,-
260950,2,14,1,2,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
260960,-,46,8,4,1,-,3,1,67,-,30,22,1,3,2,1,-,-,-,1,-,1,-,2,-,-,1
260970,3,11,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
260980,7,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
260990,2,19,1,2,-,-,-,-,6,-,4,7,1,-,1,-,-,-,-,-,-,2,-,1,-,-,-
261000,1,19,-,3,-,-,-,-,10,-,22,6,-,-,1,1,-,-,-,-,-,2,-,-,2,-,-
261010,1,4,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
261020,5,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261030,1,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261040,-,7,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
261050,9,7,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
261060,-,17,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
261070,-,56,5,4,1,1,-,-,17,-,13,15,2,1,-,1,-,-,-,-,-,1,-,2,-,-,1
261080,4,9,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
261090,8,12,2,2,-,-,-,-,15,-,3,2,1,1,-,-,-,-,-,-,-,1,-,-,-,4,-
261100,4,8,-,2,-,-,-,-,6,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261110,14,48,10,5,4,2,-,-,96,-,44,25,1,2,2,1,2,-,1,-,-,2,-,2,-,-,-
261120,6,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261130,2,9,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
261140,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261150,2,8,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
261153,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261160,-,166,20,36,36,3,-,4,854,-,514,186,-,4,2,2,20,-,1,2,1,9,-,17,-,-,3
261170,4,7,-,-,-,1,-,-,1,-,2,2,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-
261180,4,11,-,1,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-
261190,-,9,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261200,-,6,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-
261210,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261220,3,16,2,3,-,-,-,-,17,-,6,5,1,-,-,1,-,-,-,-,-,2,1,1,-,-,-
261230,2,6,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261240,2,6,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-
261245,-,5,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261247,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261250,2,11,1,2,1,-,1,-,23,-,4,7,1,2,-,1,-,-,-,-,-,1,-,-,1,-,-
261255,-,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261260,7,7,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-
261270,-,5,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
261280,-,4,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261290,1,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261300,-,11,-,1,-,-,-,-,2,-,1,1,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-
261310,1,10,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261320,3,8,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-
261330,1,9,-,1,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261340,-,6,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261350,-,8,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
261360,7,13,2,2,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261370,2,22,2,3,-,-,-,-,2,-,2,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1
261380,-,8,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261390,13,15,1,6,2,-,-,-,14,-,28,14,1,-,-,1,1,-,-,-,-,2,1,-,-,-,-
261400,13,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-
261410,7,10,-,2,-,1,-,-,1,-,1,2,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-
261420,-,9,-,2,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
261430,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261440,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
261450,2,20,1,2,-,-,-,-,3,-,3,3,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-
261460,1,8,-,2,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261470,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
261480,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261485,-,8,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
261500,-,6,-,1,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
261510,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261520,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261530,-,19,-,3,-,-,-,-,2,-,2,3,1,-,-,-,-,-,-,1,-,1,-,-,2,-,-
261540,-,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261550,-,6,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261560,-,13,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
261570,5,5,-,1,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261580,3,6,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261590,1,3,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261600,1,7,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261610,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
261618,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-
261620,-,6,1,1,-,-,-,-,3,-,3,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
261630,6,5,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
261640,1,30,1,5,-,-,-,-,18,-,8,8,2,-,-,1,-,-,-,1,-,1,-,-,-,-,-
261650,6,2,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
270010,5,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-
270020,3,7,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270030,5,32,1,6,2,-,1,-,91,-,19,23,2,-,1,1,-,-,-,1,-,1,-,1,-,-,-
270040,-,14,-,2,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270050,4,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270060,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270070,-,7,-,-,-,1,-,-,1,-,4,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270080,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270090,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270100,-,13,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270110,-,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270120,4,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
270130,1,9,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270135,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270140,7,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270150,-,7,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270160,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
270170,-,8,-,-,-,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270180,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270190,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270200,2,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270210,2,6,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270220,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270230,-,16,1,1,-,1,-,-,2,-,-,4,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270235,2,8,-,-,1,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270240,9,12,1,-,-,1,-,-,4,-,2,3,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-
270250,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270255,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270260,-,7,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-
270270,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270280,-,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270290,-,12,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270300,-,6,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270310,2,9,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,-,-
270320,-,9,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270330,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-
270340,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270350,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
270360,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270370,2,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270375,1,5,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270380,7,1,-,-,-,1,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,1,-,1,-,1,-
270390,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270400,2,7,-,-,-,1,-,-,1,-,1,1,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-
270410,5,6,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270420,8,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270430,-,59,21,13,25,-,1,-,558,-,179,60,-,7,2,1,10,-,2,2,1,2,-,5,-,-,-
270440,-,7,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270450,9,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,1,-,-
270460,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270470,1,15,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270480,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270490,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
270500,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
270510,-,8,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270520,-,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270530,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270540,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270550,-,9,-,-,-,1,-,-,1,-,1,3,-,-,-,1,-,-,-,1,-,1,-,1,-,-,-
270560,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270570,3,6,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
270580,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
270590,-,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270600,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270610,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270620,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270630,-,22,4,1,-,-,-,-,18,-,10,7,-,-,-,-,-,-,-,-,-,1,-,2,2,2,-
270640,8,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270642,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-
270644,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270650,6,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270660,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270670,-,19,1,2,1,-,1,-,20,-,5,7,-,1,1,-,-,-,-,-,-,1,-,1,2,-,-
270680,2,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-
270690,-,13,-,1,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1
270700,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270710,2,5,-,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-
270720,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270730,-,10,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270740,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270750,1,6,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,1,-,1,-,1,-
270760,4,6,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270770,-,15,-,1,1,-,-,-,2,-,3,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270780,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270790,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270800,8,12,4,3,-,-,-,-,12,-,1,2,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-
270810,-,5,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
270820,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270830,1,7,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-
270840,-,10,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270850,-,10,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
270860,-,11,1,1,-,-,-,-,7,-,1,5,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
270870,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270880,7,13,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-
270890,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
270895,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270900,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
270910,7,8,-,-,-,1,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
270915,-,14,-,-,-,1,-,-,3,-,1,1,-,-,1,-,-,-,-,-,-,1,-,1,1,-,-
270920,2,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-
270930,-,14,11,2,-,-,-,-,3,-,4,1,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-
270940,8,2,-,-,-,1,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
280010,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280020,6,7,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
280030,3,45,51,10,6,1,3,1,1449,-,75,57,1,3,2,1,14,-,13,2,1,2,2,6,-,-,-
280040,7,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280050,1,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280060,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
280067,-,6,-,-,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280070,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280100,5,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280110,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280120,-,8,-,1,-,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
280130,9,2,-,1,1,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
280140,4,4,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
280150,-,4,-,1,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
