municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_20
110001,19,12,-,11,-,7,-,-,27,10,6,-,1,3,-,2,1,8,32
110037,11,12,1,3,-,1,-,-,15,4,2,-,1,2,-,-,-,4,8
110040,13,15,-,6,-,-,-,-,16,8,3,-,1,3,-,-,1,18,8
110034,8,13,-,2,1,2,-,-,23,10,1,-,1,2,-,-,1,9,16
110002,141,85,3,57,-,12,-,-,143,61,15,-,-,23,2,9,1,20,94
110045,14,20,3,13,-,2,-,-,37,14,11,1,-,3,-,3,1,6,31
110003,4,6,-,4,-,1,-,-,12,3,-,-,-,3,-,2,2,4,11
110060,2,5,-,-,-,1,-,-,4,1,1,-,-,-,-,-,-,2,5
110004,71,116,2,48,-,25,-,1,147,31,21,2,-,21,3,12,8,9,78
110070,9,6,1,7,-,1,-,-,9,2,1,-,1,-,-,1,1,-,8
110080,44,16,-,6,1,2,-,-,22,11,3,1,1,6,-,-,2,16,29
110090,4,2,-,1,-,-,-,-,1,1,1,-,-,1,-,1,-,1,3
110005,10,15,-,6,-,7,-,-,23,4,4,-,1,5,-,2,-,16,17
110092,7,4,-,-,-,-,-,-,5,4,3,-,-,-,-,-,1,8,4
110006,9,21,-,6,1,6,-,-,26,14,-,-,-,3,-,-,-,5,10
110007,4,5,-,4,-,2,-,-,8,2,1,-,-,2,-,3,3,3,8
110008,13,9,-,8,-,-,-,-,7,7,1,-,-,3,-,4,-,3,9
110094,13,5,-,2,-,-,-,-,12,1,2,-,-,3,-,5,1,11,20
110009,19,33,-,7,-,7,-,-,33,9,8,-,-,5,-,3,1,32,24
110100,5,5,1,3,-,2,-,-,9,1,1,-,-,-,-,-,-,9,6
110010,100,31,1,22,1,4,-,-,39,24,18,-,1,8,4,11,5,30,19
110110,12,7,-,6,-,1,-,-,9,2,2,-,-,-,-,1,-,7,5
110011,43,53,3,21,-,15,-,-,59,12,11,1,-,6,2,6,2,42,40
110012,144,89,5,58,4,18,-,-,125,52,33,1,3,26,-,15,7,12,90
110013,24,21,2,12,-,4,-,-,33,9,3,-,-,4,-,2,-,6,21
110120,2,8,-,1,-,1,-,-,7,3,3,-,-,2,-,2,-,2,5
110130,6,6,-,4,-,5,-,-,20,4,2,-,-,-,-,1,1,4,8
