municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_20
110140,6,12,-,2,-,1,-,-,12,3,4,-,-,-,-,-,-,5,24
110014,10,13,-,8,1,-,-,-,22,10,7,-,-,3,-,1,-,8,16
110033,16,5,-,4,-,3,-,-,32,15,6,-,-,-,1,4,-,19,17
110143,5,3,-,3,-,-,-,-,12,3,1,-,-,1,-,1,-,2,8
110050,1,8,-,4,-,1,-,-,7,9,2,-,-,2,-,-,1,2,5
110015,37,29,1,21,-,6,-,-,57,24,9,1,-,8,-,-,-,12,32
110145,2,-,-,1,-,2,-,-,5,3,1,-,-,1,-,1,-,2,4
110018,27,29,1,13,1,5,-,-,65,9,10,-,-,10,-,4,4,7,30
110146,5,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,3,3
110020,1129,404,9,156,43,48,-,1,543,216,105,6,8,56,5,71,37,146,393
110025,18,18,1,25,1,3,-,-,34,10,5,-,-,4,-,1,1,9,13
110147,2,-,-,1,-,-,-,-,5,1,-,1,-,-,-,-,-,-,2
110026,1,2,-,1,-,-,-,-,2,1,1,-,-,-,-,1,-,2,6
110028,44,42,-,22,3,7,-,-,81,22,9,-,-,9,-,6,2,31,39
110029,2,9,-,6,-,-,-,-,8,2,2,2,-,1,-,1,-,1,9
110148,1,2,-,4,-,2,-,-,7,-,3,-,-,-,-,-,-,3,3
110149,7,8,1,6,-,2,-,-,21,5,6,-,-,6,-,2,1,17,8
110032,17,15,1,9,-,2,-,-,40,7,3,-,-,2,-,2,2,16,14
110150,1,10,1,-,-,-,-,-,14,3,4,-,-,-,-,1,2,7,6
110155,2,4,-,5,-,3,-,-,14,1,-,-,-,-,-,-,1,-,2
110160,3,9,1,3,1,1,-,-,10,1,-,-,-,1,-,1,1,5,12
110170,5,20,1,5,-,2,-,-,22,7,2,-,-,1,-,2,-,1,11
110175,3,8,1,4,-,-,-,-,9,2,1,-,-,2,-,1,-,5,7
110180,12,3,-,1,1,-,-,-,9,3,2,-,-,-,-,1,-,6,9
110030,105,68,2,45,3,15,-,-,143,50,20,1,2,21,2,10,3,14,87
110000,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,4,9
120001,16,8,-,3,-,-,-,-,16,11,4,-,-,2,-,1,-,2,9
120005,11,4,1,1,-,-,-,-,13,6,1,-,1,1,-,1,1,8,2
120010,28,12,2,10,-,2,1,-,39,19,6,-,-,3,-,-,1,3,26
120013,8,4,-,2,-,-,-,-,9,8,3,-,-,-,-,2,1,21,15
120017,6,5,-,2,-,1,-,-,5,5,1,-,-,4,1,-,-,7,8
120020,96,56,1,17,-,10,-,-,126,43,11,-,1,8,1,10,5,6,52
120025,13,13,3,6,-,-,-,-,16,10,5,-,-,2,-,2,1,16,10
120030,27,17,3,6,1,4,-,-,24,12,7,-,-,4,-,5,6,18,29
120032,3,1,-,3,-,-,-,-,1,1,1,-,-,1,-,1,2,-,1
120033,19,11,-,2,-,4,-,-,10,7,3,-,-,-,-,4,1,6,11
120034,4,3,-,1,-,-,-,-,7,5,2,-,-,2,-,1,1,2,11
120035,9,5,-,-,-,-,-,-,6,1,1,-,-,-,1,1,1,10,-
120038,13,10,-,5,-,1,-,-,17,6,3,-,2,3,-,4,2,16,9
120080,23,13,1,6,-,3,-,-,16,7,4,-,1,1,-,3,2,23,19
120039,3,-,-,2,-,-,-,-,1,1,-,-,-,-,-,1,2,2,5
120040,617,311,10,126,15,29,-,-,305,261,75,2,10,46,1,55,17,444,287
120042,7,6,1,4,-,-,-,-,17,7,-,-,-,1,-,2,2,6,6
120043,10,1,1,2,-,-,-,-,-,-,-,-,-,-,-,3,-,5,5
120050,23,31,3,11,2,3,-,-,61,24,8,-,-,7,1,10,2,16,25
120045,28,7,2,2,1,-,-,-,26,12,8,-,-,-,-,3,3,27,13
120060,28,12,3,8,1,2,-,-,36,29,10,-,-,1,-,12,5,14,31
120070,14,9,2,7,1,1,1,-,20,12,10,-,-,1,-,4,2,2,9
120000,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,8,13
130002,31,3,1,2,-,2,-,-,9,4,3,1,1,1,-,3,1,-,13
130006,11,6,2,3,-,-,-,-,8,2,3,-,-,2,1,2,1,5,7
130008,5,3,1,2,-,1,-,-,12,2,-,-,-,-,-,1,-,8,4
130010,28,3,-,4,1,-,-,-,11,4,2,-,-,3,-,1,1,4,8
130014,10,9,1,5,1,-,-,-,19,3,1,-,-,3,1,1,2,2,20
130020,12,2,-,2,-,2,-,-,4,4,3,-,1,-,1,7,4,2,5
130030,55,16,1,10,1,1,-,-,36,8,3,-,-,4,1,5,2,21,27
130040,34,6,1,5,-,-,-,-,14,11,3,1,-,-,-,2,4,10,8
130050,32,11,-,11,1,3,-,1,28,20,5,-,-,3,-,7,3,2,15
130060,63,17,2,11,-,1,-,-,35,19,9,1,1,3,3,5,3,26,24
130063,16,6,-,2,-,1,-,-,7,-,1,-,-,1,-,2,2,27,4
130068,12,5,1,17,-,-,-,-,15,5,5,-,-,-,-,4,-,-,13
130070,29,13,2,6,-,2,-,-,21,22,4,-,-,4,1,5,7,72,27
130080,34,9,1,19,-,2,-,-,40,12,3,-,-,2,-,3,2,3,21
130083,10,4,-,5,-,-,-,-,8,2,-,-,-,1,1,5,1,12,2
130090,11,9,-,3,-,1,-,-,9,2,2,-,-,1,-,1,3,1,6
130100,30,14,-,12,-,2,-,-,35,7,2,-,-,1,-,4,1,7,10
130110,34,24,-,8,-,1,-,-,10,3,7,-,2,3,1,6,1,42,21
130115,9,10,1,6,-,-,-,-,18,7,2,-,-,-,-,-,1,15,12
130120,167,23,-,22,2,3,-,-,63,23,15,1,4,8,-,13,4,10,107
130130,17,14,-,10,1,4,-,-,22,11,4,-,-,2,-,3,-,4,10
130140,22,9,4,16,5,1,-,-,25,17,15,-,-,5,1,8,1,9,34
130150,4,9,-,8,-,1,-,-,9,5,3,-,-,1,-,3,1,2,16
130160,33,11,1,2,1,1,-,-,29,9,7,-,1,1,1,5,1,5,14
130165,17,6,-,3,-,2,-,-,10,6,1,-,-,1,-,3,-,3,12
130170,89,27,-,9,2,6,-,-,39,19,5,-,-,2,-,8,2,29,38
130180,16,-,-,-,-,-,-,-,5,4,3,-,-,1,-,3,-,15,1
130185,87,32,2,28,1,3,-,-,49,22,8,1,-,4,-,7,8,35,38
130190,147,55,4,38,2,14,-,-,86,34,13,-,1,15,1,20,4,98,67
130195,7,7,-,3,-,-,-,-,3,1,1,-,-,2,-,1,-,5,6
130200,23,3,-,4,2,-,-,-,13,4,1,1,-,1,-,-,1,2,5
130210,4,1,-,3,-,-,-,-,4,-,-,-,-,-,-,-,-,3,5
130220,11,3,-,7,-,1,-,-,7,6,2,1,-,1,-,1,2,2,8
130230,28,9,1,6,-,3,-,-,16,9,3,1,-,2,-,3,6,4,11
130240,51,17,-,14,-,1,-,-,32,18,2,-,-,2,-,10,1,23,27
130250,210,57,1,36,4,10,-,-,92,48,18,1,3,16,4,14,6,42,65
130255,30,9,3,6,-,1,-,-,20,1,2,-,1,-,1,1,1,7,3
130260,4460,1897,58,947,54,263,-,5,2111,1090,480,35,63,268,42,238,178,1880,1519
130270,42,14,1,10,-,-,-,-,38,8,7,-,1,5,-,6,4,42,19
130280,9,5,-,1,-,-,-,-,9,4,5,-,-,2,1,5,1,3,6
130290,67,11,1,11,-,2,-,-,38,20,9,-,-,8,2,12,6,74,38
130300,22,9,-,10,-,2,-,-,15,8,-,-,-,1,-,3,-,5,6
130310,40,6,1,10,1,2,-,-,40,7,3,-,-,2,1,8,2,11,32
130320,16,13,-,3,1,-,-,-,14,6,-,-,-,1,1,3,1,15,4
130330,17,10,1,11,2,2,-,-,33,6,3,-,-,1,-,3,-,2,8
130340,190,51,2,40,4,8,-,-,106,48,18,1,1,4,-,18,5,7,36
130350,9,5,-,4,-,1,-,-,10,5,-,-,1,1,-,4,1,5,14
130353,52,12,1,12,1,1,-,-,23,10,4,-,-,3,-,9,1,10,33
130356,32,16,1,5,-,1,-,-,27,7,4,1,-,-,1,3,2,7,19
130360,29,8,-,5,-,1,-,-,9,7,4,1,-,-,1,3,-,11,9
130370,43,10,2,6,-,1,-,-,11,4,1,-,1,-,2,4,1,13,6
130380,99,15,3,21,2,5,-,-,25,39,9,3,3,7,2,12,5,14,72
130390,47,10,2,6,-,-,-,-,16,15,4,2,1,2,2,7,5,12,11
130395,8,3,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,2,2
130400,11,7,-,1,-,1,-,-,10,1,1,-,-,2,-,3,-,5,3
130406,106,20,3,15,1,3,-,-,54,25,15,-,2,8,-,12,7,51,84
130410,14,7,-,5,1,-,-,-,19,5,2,-,1,-,1,1,-,3,14
130420,152,31,3,19,1,5,-,-,53,41,14,1,-,11,-,16,5,12,55
130423,24,-,-,3,-,-,-,-,2,2,2,-,-,1,1,5,1,14,1
130426,16,4,1,2,-,-,-,-,6,7,-,-,-,2,3,2,1,-,6
130430,20,7,-,3,2,2,-,-,16,2,-,-,-,1,-,4,-,9,10
130440,18,3,-,4,-,2,-,-,11,3,1,-,-,1,-,2,1,10,3
130000,-,1,-,-,-,-,-,-,3,1,2,-,-,-,-,-,1,3,8
140005,30,8,2,10,-,2,-,-,16,12,5,1,-,2,-,6,-,6,44
140002,27,6,3,10,-,-,-,-,2,10,5,1,-,-,2,10,3,9,12
140010,674,316,12,114,6,42,-,1,454,141,93,6,12,32,10,60,29,66,376
140015,19,4,1,3,-,2,-,-,10,3,3,-,1,-,2,8,1,6,13
140017,21,5,1,3,-,-,-,-,10,4,3,2,-,1,2,3,2,4,24
140020,24,15,1,1,-,3,-,-,19,7,4,-,1,2,-,8,3,10,34
140023,11,5,1,4,-,-,-,-,6,4,-,-,-,1,1,1,-,1,8
140028,8,1,-,1,2,-,-,-,4,3,2,-,1,-,1,1,-,-,11
140030,24,11,1,5,-,2,-,-,22,4,3,-,1,-,-,3,2,11,23
140040,27,3,-,2,-,-,-,-,8,8,3,1,-,1,-,6,2,3,7
140045,33,10,-,3,-,-,-,-,5,10,4,1,-,2,1,8,-,2,12
140047,35,11,-,4,2,1,-,-,32,10,5,-,1,3,1,7,-,4,23
140050,4,4,-,1,-,-,-,-,4,1,-,1,-,1,-,4,-,-,4
140060,9,6,-,1,-,-,-,-,5,3,1,-,-,1,-,1,1,1,1
140070,12,1,-,6,-,3,-,1,4,5,3,-,-,3,-,3,1,2,9
140000,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150010,166,73,1,50,-,9,-,-,105,108,20,3,3,15,2,30,3,201,86
150013,3,2,-,2,-,2,-,-,11,4,1,-,1,1,-,1,-,2,9
150020,38,26,-,11,1,2,-,-,75,23,7,1,-,1,2,14,4,7,50
150030,25,6,-,3,-,1,-,-,16,3,2,-,-,2,-,3,5,23,24
150034,6,9,-,4,-,1,-,-,8,6,2,-,-,4,1,2,1,10,9
150040,60,25,1,29,1,2,-,-,87,23,7,-,1,4,2,26,1,17,11
150050,44,12,2,10,1,3,-,-,56,17,4,-,-,4,-,13,-,5,25
150060,156,91,2,23,10,13,-,-,206,37,22,2,1,14,4,17,6,45,159
150070,18,10,1,6,-,2,-,-,16,6,2,-,2,1,1,6,4,-,9
150080,681,405,16,214,17,78,-,-,692,700,117,14,13,85,13,51,24,108,285
150085,29,8,-,25,-,1,-,-,31,4,3,-,1,-,-,5,2,7,44
150090,49,25,2,45,2,4,-,-,56,13,7,1,1,3,-,6,-,17,14
150095,16,14,1,11,1,3,-,-,23,7,3,1,-,-,-,3,1,6,27
150100,15,5,-,-,-,-,-,-,7,2,-,-,-,-,-,1,-,30,7
150110,12,2,-,2,2,2,-,-,17,8,1,-,-,-,2,4,-,11,11
150120,23,12,1,19,1,1,-,-,41,2,4,-,3,1,1,6,-,11,11
150125,2,5,1,4,1,2,-,-,11,4,-,-,-,-,-,-,-,-,3
150130,159,66,2,26,1,5,-,-,78,62,20,3,4,11,1,13,2,109,94
150140,2749,1623,52,746,86,350,-,1,2458,2613,485,73,56,348,18,140,77,272,862
150145,27,15,-,8,-,3,-,-,30,10,4,-,1,1,1,4,2,4,18
150150,78,46,3,26,2,8,-,-,71,29,11,3,1,8,3,5,6,24,59
150157,8,13,-,6,1,1,-,-,18,9,2,-,-,1,-,2,-,7,16
150160,9,7,-,15,-,-,-,-,15,6,-,-,-,-,-,-,2,3,12
150170,171,71,2,51,3,4,-,-,167,88,25,3,1,29,-,19,4,115,66
150172,20,15,2,4,-,1,-,-,34,5,3,-,-,1,-,-,2,26,20
150175,2,2,-,3,-,1,-,1,16,4,-,-,-,-,-,1,-,9,9
150178,53,27,6,25,1,2,-,-,64,12,14,-,1,1,1,4,2,21,35
150180,118,40,3,11,1,7,-,-,58,29,15,3,-,7,1,24,10,57,52
150190,27,15,-,8,-,1,-,-,29,16,5,-,-,1,-,4,2,13,27
150200,8,7,-,7,-,-,-,-,21,5,6,-,-,3,-,1,-,6,9
150195,11,6,1,8,1,-,-,-,20,11,1,-,-,1,-,1,-,4,11
150210,151,67,9,47,2,9,-,-,133,79,13,6,3,8,-,31,6,11,57
150215,57,20,-,10,-,2,-,-,36,17,7,-,-,3,1,9,-,24,52
150220,103,53,4,50,2,11,-,-,93,45,12,1,-,8,3,12,1,71,53
150230,47,37,1,46,-,1,-,-,99,11,9,-,1,5,1,6,3,4,53
150240,271,137,2,99,9,16,-,-,304,153,66,7,6,35,2,26,12,117,159
150250,4,6,-,1,-,1,-,-,5,2,1,-,-,2,1,3,1,2,4
150260,11,13,-,16,2,2,-,-,25,9,3,1,1,1,-,-,1,4,8
150270,51,27,-,18,1,5,-,-,72,28,12,-,1,5,-,6,5,57,23
150275,21,23,-,10,-,4,-,-,41,8,3,-,-,1,-,2,1,6,26
150276,6,5,2,1,-,1,-,-,5,6,6,-,-,-,-,2,1,17,9
150277,33,7,-,8,-,-,-,-,16,18,3,-,-,1,-,3,-,45,21
150280,22,9,-,2,-,-,-,-,14,14,2,-,-,-,1,9,2,7,8
150285,7,5,-,3,1,-,-,-,8,4,2,-,-,-,1,3,1,19,3
150290,74,17,2,30,1,-,-,-,61,25,10,1,-,7,-,10,1,19,35
150293,33,27,-,20,5,1,-,-,88,21,9,-,1,2,2,4,-,2,45
150295,16,14,-,16,-,2,-,-,20,8,6,-,-,2,1,2,2,42,37
150300,3,3,-,-,-,1,-,-,9,3,1,-,-,1,-,2,1,1,3
150304,11,2,-,3,-,2,-,-,25,9,6,-,-,1,1,1,1,14,44
150307,14,24,-,21,-,2,-,-,19,6,6,-,1,-,-,7,4,11,14
150309,22,13,3,18,1,-,-,-,42,11,12,-,1,2,-,2,1,5,33
150310,11,13,2,12,1,4,-,-,29,12,3,1,1,5,-,4,1,7,8
150320,37,18,-,45,2,6,-,-,68,35,10,2,-,5,1,11,1,2,29
150330,56,24,-,28,3,4,-,-,54,44,5,1,1,4,3,10,4,33,31
150340,8,1,-,3,-,-,-,-,18,6,4,1,-,5,-,2,1,1,5
150345,22,16,-,18,1,1,-,-,44,11,6,1,-,6,1,7,1,31,38
150350,29,30,1,10,-,2,-,-,64,17,7,-,1,4,1,5,2,4,19
150360,167,53,4,46,3,12,-,-,171,36,26,-,-,17,2,31,5,102,138
150370,42,10,1,14,4,2,-,-,54,28,5,-,1,3,-,8,5,54,41
150375,36,5,2,3,1,-,-,-,21,5,5,-,-,-,1,8,-,18,20
150380,33,40,-,20,5,5,-,-,81,20,14,-,-,3,1,4,1,6,44
150390,99,27,-,30,1,3,-,-,49,15,6,-,-,9,1,14,3,13,20
150400,31,6,-,2,-,2,-,-,24,16,2,-,-,1,-,3,2,7,1
150405,47,26,-,11,2,-,-,-,40,22,9,1,-,4,-,5,1,18,49
150410,14,2,-,12,-,-,-,-,19,11,1,-,-,3,-,1,-,-,4
150420,299,111,7,71,8,17,-,-,214,144,42,7,2,20,10,38,12,324,260
150430,33,23,-,17,-,-,-,-,51,20,2,1,-,1,-,1,-,14,9
150440,30,20,2,14,2,2,-,-,42,17,9,-,-,2,-,4,-,13,16
150442,154,74,3,46,3,11,-,-,148,127,27,-,4,16,-,9,8,33,80
150445,24,7,-,4,-,-,-,-,35,6,5,-,-,4,1,1,2,11,26
150450,17,2,2,3,-,1,-,-,13,4,-,-,-,1,-,7,1,3,8
150460,38,16,-,10,1,5,-,-,44,18,5,-,-,4,-,3,3,10,34
150470,67,18,1,22,-,4,-,-,36,39,10,-,2,8,1,15,2,89,57
150475,18,11,2,6,-,-,-,-,18,9,4,-,-,3,-,2,1,45,16
150480,82,36,5,43,-,4,-,-,103,16,11,1,3,11,1,14,4,14,28
150490,29,18,2,8,-,2,-,-,22,23,8,-,1,2,-,9,4,14,7
150495,13,14,-,6,-,4,-,-,15,6,4,-,-,2,1,4,-,7,17
150497,12,6,-,5,-,1,-,-,17,2,2,-,-,1,-,1,-,9,9
150500,11,7,1,3,1,-,-,-,16,8,2,1,-,1,-,2,-,26,10
150503,20,14,1,6,4,1,-,-,21,8,7,-,-,1,-,5,-,20,54
150506,56,21,3,30,2,2,-,-,75,20,13,-,1,3,2,12,9,3,58
150510,60,29,-,22,4,8,-,-,83,23,14,1,-,7,1,10,6,15,25
150520,35,10,1,11,-,2,-,-,25,12,3,-,-,5,1,4,1,7,12
150530,84,28,2,11,2,2,-,-,62,23,9,2,-,6,1,13,3,54,35
150540,23,13,-,11,-,1,-,-,20,18,2,-,-,4,1,5,-,15,15
150543,29,6,-,4,-,4,-,-,6,4,5,1,-,4,4,9,3,51,42
150548,24,27,1,12,2,5,-,-,48,13,8,-,-,1,1,6,5,7,57
150549,4,2,-,-,-,-,-,-,11,2,1,-,-,1,-,1,-,18,10
150550,141,56,2,27,14,12,-,-,101,45,28,-,3,17,2,13,11,1,122
150553,229,87,9,40,5,14,-,-,179,84,36,2,-,16,6,32,9,40,218
150555,9,4,-,4,-,-,-,-,19,8,-,-,-,-,-,2,-,14,6
150560,7,5,-,7,1,1,-,-,18,2,1,-,-,-,-,-,-,4,6
150563,6,1,-,6,-,-,-,-,19,-,1,-,-,-,-,2,-,2,8
150565,11,14,1,1,-,-,-,-,14,2,3,-,1,15,-,3,-,6,17
150570,21,23,-,4,-,5,-,-,34,13,4,-,1,2,-,1,2,4,5
150580,56,18,3,4,-,4,-,-,36,16,9,-,-,3,2,10,3,35,31
150590,28,5,1,7,-,3,-,-,29,12,4,-,-,1,1,5,-,11,17
150600,38,13,1,14,2,6,-,-,21,7,2,-,1,5,1,10,4,11,14
150610,16,9,-,10,-,-,-,-,18,5,3,1,-,-,-,2,1,3,9
150611,19,6,-,5,1,2,-,-,18,7,2,-,-,3,-,3,-,3,11
150613,78,54,6,55,2,10,-,-,119,52,24,1,-,10,4,20,10,53,123
150616,15,7,-,11,1,2,-,-,28,14,3,-,-,1,-,2,-,4,20
150618,48,28,2,24,2,3,-,-,73,18,11,-,-,7,-,8,-,3,40
150619,31,13,-,7,-,2,-,-,25,11,2,-,-,-,1,7,2,49,12
150620,80,38,1,28,1,3,-,-,50,28,7,-,1,4,1,5,-,17,36
150630,27,19,-,5,-,3,-,-,38,10,5,1,-,5,1,2,-,28,14
150635,24,22,2,10,1,2,-,-,33,17,3,1,1,6,-,1,-,6,16
150640,7,5,-,1,-,-,-,-,12,7,-,-,-,-,-,1,1,2,3
150650,66,38,2,55,6,8,-,-,103,21,17,2,2,8,-,8,5,21,51
150655,20,14,-,17,1,-,-,-,33,12,3,1,1,3,-,2,1,17,11
150658,11,7,2,4,-,1,-,-,18,4,2,1,-,2,1,4,-,10,18
150660,29,16,-,16,1,3,-,-,29,18,8,-,-,6,-,4,3,31,20
150670,30,14,-,14,1,3,-,-,30,14,8,1,-,5,-,13,-,24,58
150680,568,256,12,97,7,62,-,-,343,192,73,3,11,61,15,79,15,275,186
150690,6,2,-,2,-,-,-,-,4,2,2,-,-,2,-,2,-,4,5
150700,31,20,1,15,2,2,-,-,36,28,8,-,2,2,-,1,-,20,23
150710,26,10,-,5,2,1,-,-,28,12,2,1,-,2,1,5,2,21,13
150715,23,24,-,15,2,3,-,-,34,10,3,1,-,3,-,2,1,4,20
150720,26,13,-,14,-,2,-,-,47,12,5,-,-,1,1,3,-,7,25
150730,42,18,2,11,-,1,-,-,77,14,8,-,-,4,1,18,2,42,83
150740,20,9,-,6,1,1,-,-,36,10,8,1,-,3,-,3,2,5,15
150745,32,14,-,15,-,5,-,-,32,8,9,-,1,2,1,2,-,8,32
150746,7,2,1,1,-,1,-,-,11,5,-,-,-,-,-,3,-,4,4
150747,38,12,1,11,-,3,-,-,40,12,3,1,-,3,-,1,-,6,13
150750,9,1,2,4,-,1,-,-,18,4,1,-,1,1,-,-,-,10,6
150760,62,27,1,37,2,4,-,-,99,32,7,2,3,5,3,4,3,24,43
150770,19,5,4,6,-,-,-,-,13,7,5,-,-,2,1,1,1,2,11
150775,7,-,-,2,-,-,-,-,7,3,-,-,-,-,-,2,-,-,10
150780,20,3,1,1,-,-,-,-,18,5,2,1,-,2,-,4,-,6,17
150790,24,20,6,17,-,2,-,-,44,20,3,-,-,2,1,2,1,-,14
150795,57,44,7,16,3,5,-,-,55,27,7,2,-,8,2,10,1,85,89
150796,13,8,1,4,-,-,-,-,22,8,6,1,-,-,1,-,1,7,9
150797,20,3,2,9,-,-,-,-,20,10,5,-,-,4,-,1,2,4,9
150800,71,33,-,33,-,6,-,-,67,47,12,2,2,7,2,12,5,35,76
150803,25,16,3,36,-,-,-,-,56,21,6,1,-,2,-,2,-,2,21
150805,10,6,-,10,-,2,-,-,15,5,-,-,-,1,-,2,1,1,37
150808,48,12,1,12,-,3,-,-,40,10,9,-,-,2,-,6,-,43,46
150810,160,70,8,38,1,16,-,-,134,31,13,3,2,12,-,12,5,23,76
150812,23,13,1,8,-,4,-,-,33,7,8,1,-,1,-,3,2,2,22
150815,28,20,1,17,6,2,-,-,59,6,7,-,-,4,2,9,2,4,53
150820,65,31,1,21,-,3,-,-,52,32,16,2,1,6,-,8,-,75,38
150830,40,21,-,26,-,6,-,-,51,16,8,-,-,4,1,8,2,64,12
150835,29,11,1,3,-,-,-,-,22,-,-,-,-,2,-,2,-,4,10
150840,43,22,3,13,1,3,-,-,74,40,14,-,-,8,-,6,1,50,51
150000,11,-,1,3,-,-,-,-,9,14,3,-,-,-,-,4,-,17,43
160010,9,3,-,1,-,1,-,-,3,3,2,1,-,-,-,1,-,1,6
160020,9,1,-,6,-,1,-,-,8,2,-,-,-,-,-,2,-,6,12
160021,3,2,-,3,-,-,-,-,2,1,-,-,-,-,1,1,-,-,2
160023,8,3,-,2,-,-,-,-,7,4,2,-,-,1,1,3,-,-,5
160025,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
160027,64,25,-,17,2,1,-,-,40,27,11,1,1,1,-,11,5,11,36
160030,878,371,8,160,27,55,-,-,505,217,111,1,9,52,10,101,38,89,449
160040,23,4,-,5,-,1,-,-,16,3,2,-,-,1,1,3,-,5,9
160050,35,6,2,4,1,-,-,-,14,5,4,-,-,2,-,9,-,8,26
160015,8,3,-,5,-,2,-,-,5,7,1,-,-,-,-,1,3,3,7
160053,25,4,-,6,-,-,-,-,10,2,3,-,-,-,-,4,2,6,15
160055,7,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,-,2,5
160060,182,80,2,28,2,19,-,-,139,53,18,2,-,19,2,17,11,54,89
160005,8,-,-,1,-,1,-,-,2,-,-,-,-,-,-,1,1,1,2
160070,14,2,1,2,-,-,-,-,3,3,3,1,-,-,-,2,1,3,6
160080,16,3,-,2,-,2,-,-,7,2,2,-,-,-,-,1,1,1,6
160000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170025,5,1,-,1,-,-,-,-,8,1,-,-,-,-,-,2,-,-,1
170030,9,2,-,3,1,1,-,-,8,4,2,-,1,-,-,-,-,-,4
170035,3,7,-,8,-,-,-,-,7,3,-,-,-,2,1,-,-,3,6
170040,4,7,-,-,-,2,-,-,8,1,3,-,-,-,-,1,-,6,7
170070,13,6,-,5,1,1,-,-,11,6,1,-,1,6,-,1,-,1,10
170100,17,11,-,8,-,1,-,-,23,6,7,-,-,1,-,-,-,-,8
170105,2,3,-,-,-,2,-,-,8,2,1,-,-,1,-,-,-,-,3
170110,3,4,-,-,-,-,-,-,10,-,2,-,-,-,-,2,-,-,2
170130,8,2,-,1,-,-,-,-,10,4,4,-,1,1,-,-,-,-,5
170190,1,4,-,2,-,1,-,-,8,1,1,-,-,1,1,1,-,-,6
170200,9,10,-,4,-,2,-,-,10,7,2,-,-,3,-,2,1,5,7
170210,265,129,-,68,10,28,-,1,288,64,60,3,5,21,1,16,14,13,161
170215,11,5,-,2,-,-,-,-,11,-,4,-,-,-,-,-,-,-,2
170220,38,18,-,18,7,4,-,-,63,19,7,-,-,4,1,2,1,5,29
170230,7,10,-,2,2,-,-,-,14,2,5,1,-,2,-,-,-,-,5
170240,2,5,-,6,2,2,-,-,19,5,2,-,-,2,-,-,-,15,5
170255,12,13,2,10,4,4,-,-,28,13,3,-,-,2,-,1,1,3,15
170270,-,3,-,1,1,-,-,-,5,4,-,-,-,1,-,-,-,1,4
170290,14,3,-,11,-,1,-,-,27,6,2,-,1,2,-,1,-,3,9
