municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_20
350850,23,83,4,26,-,10,-,-,120,65,26,1,1,15,-,16,2,84,36
350860,4,35,1,17,-,5,-,-,55,11,12,-,2,9,-,2,1,25,22
350870,1,16,-,12,2,1,-,-,45,13,6,-,-,-,1,1,-,19,5
350880,7,25,-,6,3,1,-,-,33,22,8,-,-,3,-,-,-,27,16
350890,-,2,-,-,-,1,-,-,6,-,1,-,-,1,-,-,-,6,1
350900,16,82,2,27,1,8,-,-,155,68,18,-,1,12,1,11,4,5,48
350910,-,4,-,7,-,-,-,-,6,3,2,-,-,1,-,-,-,7,3
350920,5,50,3,20,2,4,-,-,104,33,23,-,1,14,1,6,4,8,38
350925,9,31,2,8,2,1,-,-,57,14,8,-,-,5,-,4,-,29,22
350930,1,14,1,3,-,3,-,-,22,9,2,-,-,-,-,3,-,6,3
350940,8,27,-,15,2,2,-,-,34,21,11,-,-,1,-,3,3,18,10
350945,1,6,1,5,-,2,-,-,15,12,2,1,-,1,-,-,-,4,2
350950,269,1272,24,272,76,189,-,-,1905,994,383,34,24,187,2,86,61,131,632
350960,16,77,5,32,3,17,-,-,156,51,29,1,-,8,1,6,3,8,44
350970,12,51,1,22,6,8,-,-,112,49,17,1,2,8,-,10,4,43,31
350980,1,3,-,1,1,-,-,-,10,4,1,-,-,1,-,-,-,6,2
350990,6,15,2,6,-,1,-,-,27,9,5,-,-,1,-,1,2,5,8
350995,1,1,-,1,-,1,-,-,6,2,2,-,-,-,-,1,1,-,1
351000,7,34,1,5,2,4,-,-,56,42,10,-,1,5,1,-,-,41,18
351010,-,3,1,-,-,1,-,-,10,3,-,-,-,-,-,-,-,3,1
351015,-,2,-,-,-,-,-,-,7,3,-,-,-,1,-,1,1,10,2
351020,6,38,-,41,5,9,-,-,96,36,23,-,1,6,1,7,3,31,30
351030,4,14,1,3,7,1,-,-,26,17,6,-,1,-,-,2,-,15,10
351040,23,49,-,19,4,8,-,-,93,56,25,2,1,12,-,7,-,18,22
351050,35,103,5,31,3,7,-,-,141,76,31,4,2,11,-,22,1,120,77
351060,67,233,9,62,11,31,-,-,584,209,94,3,9,33,2,40,17,35,189
351070,6,13,-,1,1,1,-,-,26,11,10,-,-,1,-,-,1,33,9
351080,10,32,3,14,1,4,-,-,87,24,21,-,2,2,-,2,2,38,17
351090,1,4,-,2,-,2,-,-,6,3,2,-,-,-,-,-,1,-,1
351100,3,10,1,7,-,1,-,-,22,14,7,1,-,2,-,5,1,26,11
351110,36,178,8,65,6,42,-,-,250,114,55,5,6,58,-,7,4,107,85
351120,1,7,-,4,-,1,-,-,17,6,3,1,-,2,-,-,-,3,4
351130,3,11,-,2,-,2,-,-,20,12,4,-,1,-,-,-,-,3,8
351140,5,27,-,6,2,2,-,-,42,9,10,-,-,4,-,1,1,29,9
351150,4,29,2,19,1,3,-,-,55,27,14,-,1,8,-,2,3,10,35
351160,2,12,1,10,2,-,-,-,32,11,5,-,-,4,-,1,1,13,11
351170,5,14,-,7,-,1,-,-,25,12,6,-,1,3,-,5,1,12,8
351190,1,8,-,1,-,3,-,-,12,8,4,-,-,-,-,1,-,4,1
351200,7,29,-,8,-,4,-,-,31,17,6,-,1,3,-,-,-,15,10
351210,5,4,-,6,1,-,-,-,10,6,2,-,-,-,-,1,-,4,7
351220,3,33,1,14,-,3,-,-,30,16,9,-,2,1,-,3,1,6,9
351230,7,26,1,6,1,2,-,-,55,17,6,1,1,2,-,1,-,5,10
351240,7,22,2,3,1,7,-,-,29,10,8,-,-,3,-,4,-,10,12
351250,1,7,1,1,-,2,-,-,5,2,3,-,-,-,-,1,1,10,3
351260,2,6,-,1,-,-,-,-,8,5,4,-,-,1,1,1,-,9,2
351270,-,4,-,3,-,-,-,-,4,1,1,-,-,-,-,1,-,2,2
351280,13,37,-,13,5,3,-,-,83,29,15,-,-,6,1,2,5,74,30
351290,3,11,-,4,1,4,-,-,27,6,7,-,-,1,-,-,-,1,5
351300,54,182,7,62,18,41,-,-,382,143,66,3,10,31,1,26,12,30,122
351310,6,37,-,6,4,3,-,-,65,34,17,1,-,8,-,1,-,14,14
351320,2,5,-,2,-,1,-,-,19,6,6,1,-,-,-,-,1,3,6
351330,2,4,-,1,-,2,-,-,8,-,3,-,-,1,-,-,-,4,2
351340,33,90,5,36,2,17,-,-,147,53,30,1,3,12,-,14,2,72,30
351350,36,128,3,39,6,18,-,-,214,76,37,2,2,11,1,9,5,16,72
351360,5,31,2,8,-,2,-,-,59,17,8,1,-,4,-,2,2,11,16
351370,8,46,1,10,2,5,-,-,68,31,16,-,-,7,1,2,1,7,24
351380,91,335,9,66,14,35,-,-,696,236,106,10,8,45,2,46,18,49,310
351385,1,2,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,5,1
351390,2,18,1,6,-,2,-,-,36,22,8,-,-,4,-,1,1,5,3
351400,-,4,-,1,-,-,-,-,16,5,3,-,-,1,-,-,-,5,4
