municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
110033,2,3,-,1,-,-,-,-,1,-,3,2,-,-,-,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
110143,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
110050,-,2,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
110015,2,7,-,4,-,-,-,1,30,-,17,9,-,-,2,2,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
110145,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110018,1,6,2,2,-,-,-,-,82,-,9,9,-,-,4,6,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-
110146,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
110020,14,47,4,13,5,-,-,-,505,-,74,52,6,8,42,5,3,-,5,-,1,18,6,4,-,5,3,-,-,1,1,-,-,3,4,1,-,-,-
110025,3,6,2,-,-,1,-,-,7,-,2,3,-,-,2,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
110147,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110026,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110028,3,8,4,3,-,-,-,-,70,-,9,17,-,-,1,2,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
110029,1,2,-,1,-,-,-,-,1,-,-,2,-,-,1,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
110148,-,2,-,-,-,1,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110149,-,6,-,1,-,-,-,-,3,-,-,4,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
110032,5,2,-,1,-,-,-,-,9,-,2,4,-,-,5,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
110150,-,3,-,1,-,-,-,-,1,-,-,2,-,-,-,2,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
110155,-,1,-,-,-,1,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110160,3,2,-,1,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110170,-,3,-,1,-,-,-,-,2,-,-,2,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
