state,municipality,pop,male,age,race_white,race_black,race_asian,race_mixed,race_indigenous
11,110001,24391.999999999814,0.5105677579776212,41.01201823456279,0.4314131786158309,0.04434314131786158,0.0037297969332780773,0.5002072109407377,0.020306672192291753
11,110002,90352.9999999994,0.5069841996794138,43.05220975498054,0.35527822303640944,0.08506984199679414,0.02129608426837646,0.5373253950080147,0.0010304556904053126
11,110003,6313.000000000015,0.5221280602636534,44.07156308851224,0.4599811676082863,0.07109227871939737,0.0160075329566855,0.4524482109227872,4.7080979284369113e-4
11,110004,78574.00000000068,0.5044544867656553,44.693479664299545,0.4117495158166559,0.05874757908327954,0.01355713363460297,0.4973531310522918,0.018592640413169787
11,110005,17028.99999999998,0.5008971291866029,43.186303827751196,0.47667464114832536,0.05113636363636364,0.009868421052631578,0.46142344497607657,8.971291866028708e-4
11,110006,18590.999999999676,0.5104166666666666,43.76754385964912,0.41091008771929827,0.06825657894736842,0.02055921052631579,0.49972587719298245,5.482456140350877e-4
11,110007,8782.99999999997,0.5449856733524355,44.89340974212034,0.3816618911174785,0.08080229226361031,0.017191977077363897,0.5197707736389685,5.730659025787965e-4
11,110008,13678.000000000085,0.5206703910614525,41.308007448789574,0.3154562383612663,0.0670391061452514,0.00633147113594041,0.5906890130353818,0.020484171322160148
11,110009,28729.000000000033,0.5130434782608696,43.210507246376814,0.46159420289855074,0.05579710144927536,0.012681159420289856,0.45471014492753625,0.015217391304347827
11,110010,41656.000000000015,0.5063168124392614,45.38508260447036,0.20481049562682216,0.07701652089407192,0.018950437317784258,0.6037414965986394,0.09548104956268222
11,110011,52005.000000000386,0.49605693402577417,45.31256010771302,0.3298711290632814,0.08290055779957684,0.016156953260242354,0.5701096364685516,9.617234083477592e-4
11,110012,116610.00000000128,0.4907292954264524,42.95859085290482,0.3914886102772382,0.06162811230796398,0.016245806109835777,0.5203072576372947,0.010330213667667313
11,110013,31134.999999999913,0.522690698422916,44.1853878339234,0.3064048921789508,0.07821049243643385,0.012552301255230125,0.6012230447376891,0.0016092693916961698
11,110014,19873.999999999985,0.5133840518455903,41.44547759932375,0.39504085657931814,0.06537052690898845,0.0076077768385460695,0.5274725274725275,0.004508312200619893
11,110015,37928.00000000004,0.4978734715576821,42.6735778841042,0.3498139287612972,0.07655502392344497,0.007442849548112706,0.564327485380117,0.0018607123870281765
11,110018,33822.00000000009,0.5108966376089664,43.32098381070984,0.4087795765877958,0.058530510585305104,0.014321295143212951,0.5108966376089664,0.0074719800747198
11,110020,428527.00000000064,0.5056188064032262,43.515454791354166,0.28910418767059287,0.06949123367841248,0.017680182949320087,0.6168637961983918,0.004081933754641355
11,110025,22318.99999999938,0.508443633044272,44.30534002738476,0.3934276586033775,0.04792332268370607,0.013692377909630305,0.5445002282062985,4.5641259698767686e-4
11,110026,3316,0.5337026777469991,44.08125577100646,0.4155124653739612,0.0729455216989843,0.007386888273314866,0.5032317636195752,9.233610341643582e-4
11,110028,50647.9999999999,0.4961893301243482,41.05014039310068,0.3981147212194144,0.0689931809065383,0.012234255916566386,0.5192539109506619,0.0014039310068190934
11,110029,8886.000000000085,0.5232358003442341,45.599541021227765,0.3516924842226047,0.05335628227194492,0.01835915088927137,0.5754446356855996,0.0011474469305794606
11,110030,76201.99999999999,0.5021091304939448,42.671656007620086,0.4464553000408219,0.05034698598448768,0.008436521975779017,0.48673288882841204,0.008028303170499388
11,110032,21828.00000000008,0.5205799812909261,43.00514499532273,0.3652946679139383,0.060804490177736203,0.01403180542563143,0.5570626753975678,0.002806361085126286
11,110033,22545.999999999953,0.5293048614266243,43.26578827805543,0.3016810540663335,0.04543389368468878,0.019082235347569285,0.611085870059064,0.02271694684234439
11,110034,16853.00000000019,0.5141822570911285,43.85485817742909,0.35576342788171395,0.07091128545564272,0.014182257091128546,0.5579360289680145,0.0012070006035003018
11,110037,12816.000000000053,0.5300395256916997,42.67944664031621,0.35296442687747037,0.07193675889328063,0.019762845849802372,0.5545454545454546,7.905138339920949e-4
11,110040,17134.99999999984,0.5346715328467153,43.78649635036496,0.36222627737226276,0.0690389294403893,0.0267639902676399,0.541058394160584,9.124087591240876e-4
11,110045,32383.000000000415,0.5134649910233393,43.52304009575105,0.36146020347097546,0.06343506882106523,0.01526032315978456,0.5580490724117295,0.0017953321364452424
11,110050,10240.000000000051,0.5127670661803022,42.09953100573215,0.42678478374153206,0.05992704533611256,0.007295466388744137,0.5033871808233454,0.0026055237102657635
11,110060,5736.000000000011,0.5243128964059197,39.503171247357294,0.3192389006342495,0.09989429175475686,0.013742071881606765,0.5660676532769556,0.0010570824524312897
11,110070,12665.000000000005,0.5339882121807465,45.916699410609034,0.34656188605108057,0.10844793713163065,0.003143418467583497,0.5414538310412573,3.929273084479371e-4
11,110080,19778.999999999993,0.5143547088811377,45.98041320096593,0.24470083176817817,0.07056613898577944,0.015025489669975852,0.6691709149449959,5.366246310705661e-4
11,110090,3575.000000000005,0.5016528925619834,43.09338842975207,0.412396694214876,0.05537190082644628,0.001652892561983471,0.5305785123966942,0
11,110092,8301.000000000051,0.5214592274678111,43.4810443490701,0.3426323319027182,0.05436337625178827,0.002861230329041488,0.5683118741058655,0.031831187410586555
11,110094,15853.999999999787,0.5379287598944591,48.11906332453826,0.29452506596306066,0.09729551451187335,0.010224274406332454,0.5979551451187335,0
11,110100,10511.999999999976,0.52431906614786,39.78599221789883,0.3321984435797665,0.060797665369649805,0.00924124513618677,0.5865758754863813,0.011186770428015564
